id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references
4378884,urn:uuid:65c25da4-c2a1-425f-90d9-00fef83e5ea4,2019-01-11T23:19:15.000Z,YPM IZ 101034,"Acari; YPM IZ 101034; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Outer Island; Southwest side of island along shore and in tide pools; Elder, L. E.; Culligan, C. R.; Rojas, L. M.; Palffy-Muhoray, N. M.; 2017-07-27",Acari,"Elder, L. E.; Culligan, C. R.; Rojas, L. M.; Palffy-Muhoray, N. M.",7/27/2017,41.241,-72.76,,North America,USA,Connecticut,New Haven County,"Branford, Outer Island",Southwest side of island along shore and in tide pools,arachnids; arthropods; animals,,,,,Eric A. Lazo-Wasem,,Acari,Det. by: Eric A. Lazo-Wasem 2017
4415957,urn:uuid:9e0b5e41-681a-4308-b451-86249bdee6ee,2019-01-11T23:19:15.000Z,YPM IZ 102012,"Acteocina canaliculata?; YPM IZ 102012; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Yale Coastal Field Station; Elder, L. E.; Culligan, C. R.; Boardman, R. E.; 2017-08-09",Acteocina canaliculata?,"Elder, L. E.; Culligan, C. R.; Boardman, R. E.",8/9/2017,41.254,-72.73,,North America,USA,Connecticut,New Haven County,"Branford, Yale Coastal Field Station",,opisthobranchs; snails and slugs; molluscs; animals,,,,,Eric A. Lazo-Wasem,,Acteocina canaliculata?,Det. by: Eric A. Lazo-Wasem 2017
4363713,urn:uuid:a404c2e4-c72c-4870-b4aa-3dd2bbc5523d,2017-09-08T15:38:38.000Z,YPM IZ 097014,"Actiniaria; YPM IZ 097014; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Tidepools near Bradley Point rocks; Elder, L. E.; Culligan, C. R.; 2017-06-21",Actiniaria,"Elder, L. E.; Culligan, C. R.",6/21/2017,41.251694,-72.957133,,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",Tidepools near Bradley Point rocks,sea anemones; zoanthids; stony corals and anemones; cnidarians; animals,,,,,Lourdes M. Rojas,,Actiniaria,Det. by: Lourdes M. Rojas 2017
4373286,urn:uuid:997b831f-05d4-4331-ba2d-5d3ff9364a3a,2017-10-28T23:18:15.000Z,YPM IZ 100104,"Actiniaria; YPM IZ 100104; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Stony Creek; Stony Creek under the trolley bridge; Elder, L. E.; Kumara, M.; 2017-07-20",Actiniaria,"Elder, L. E.; Kumara, M.",7/20/2017,41.269553,-72.757243,,North America,USA,Connecticut,New Haven County,"Branford, Stony Creek",Stony Creek under the trolley bridge,sea anemones; zoanthids; stony corals and anemones; cnidarians; animals,,,,,Edgar A. Lazo-Wasem,,Actiniaria,Det. by: Edgar A. Lazo-Wasem 2017
4382792,urn:uuid:732a036e-4804-45ce-a133-22fec6dde918,2019-01-11T23:19:15.000Z,YPM IZ 101430,"Aeverrillia armata; YPM IZ 101430; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Yale Coastal Field Station; Elder, L. E.; Culligan, C. R.; Boardman, R. E.; 2017-08-09",Aeverrillia armata,"Elder, L. E.; Culligan, C. R.; Boardman, R. E.",8/9/2017,41.254,-72.73,,North America,USA,Connecticut,New Haven County,"Branford, Yale Coastal Field Station",,marine bryozoans; bryozoans; animals,,,,,Eric A. Lazo-Wasem,,Aeverrillia armata,Det. by: Eric A. Lazo-Wasem 2017
4388793,urn:uuid:b81de12c-2cdc-436b-a6ee-0d8609e6ac3b,2017-10-16T08:24:05.000Z,YPM IZ 101887,"Alcyonidium polyoum; YPM IZ 101887; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Outer Island; Collection along shore on Southwest side; Elder, L. E.; Culligan, C. R.; Lazo-Wasem, E. A.; 2017-08-17",Alcyonidium polyoum,"Elder, L. E.; Culligan, C. R.; Lazo-Wasem, E. A.",8/17/2017,41.242,-72.76048,,North America,USA,Connecticut,New Haven County,"Branford, Outer Island",Collection along shore on Southwest side,marine bryozoans; bryozoans; animals,,,,,Leanne E. Elder,,Alcyonidium polyoum,Det. by: Leanne E. Elder 2017
4365102,urn:uuid:3cff8443-5967-4928-ba35-952a70dc35fa,2019-01-11T23:19:15.000Z,YPM IZ 097560,"Alitta virens; YPM IZ 097560; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Shallow intertidal just off Bradley Rocks and along Bradley Point; Elder, L. E.; Culligan, C. R.; Rojas, L. M.; 2017-06-15",Alitta virens,"Elder, L. E.; Culligan, C. R.; Rojas, L. M.",6/15/2017,41.251039,-72.9572,,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",Shallow intertidal just off Bradley Rocks and along Bradley Point,marine bristleworms; segmented worms; animals,,,,,Eric A. Lazo-Wasem,,Alitta virens,Det. by: Eric A. Lazo-Wasem 2017
4371644,urn:uuid:14f28dd6-028e-4961-b21e-f1d7e3b90a5c,2019-01-11T23:19:15.000Z,YPM IZ 099508,"Alitta virens; YPM IZ 099508; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Long Wharf, along the marsh grass and fresh water drainage behind Vietnam Memorial; Elder, L. E.; Culligan, C. R.; Rojas, L. M.; 2017-07-18",Alitta virens,"Elder, L. E.; Culligan, C. R.; Rojas, L. M.",7/18/2017,41.286322,-72.923711,,North America,USA,Connecticut,New Haven County,New Haven,"Long Wharf, along the marsh grass and fresh water drainage behind Vietnam Memorial",marine bristleworms; segmented worms; animals,,,,,Eric A. Lazo-Wasem,,Alitta virens,Det. by: Eric A. Lazo-Wasem 2017
4374372,urn:uuid:dabe2761-4516-41ff-a7a5-13bfcccae265,2019-01-11T23:19:15.000Z,YPM IZ 100262,"Alitta virens; YPM IZ 100262; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven, Lighthouse Point; Eastern side marsh area and Western side along rocky shore near the lighthouse; Elder, L. E.; Rojas, L. M.; Elder, G.; 2017-07-24",Alitta virens,"Elder, L. E.; Rojas, L. M.; Elder, G.",7/24/2017,41.2475,-72.9039,,North America,USA,Connecticut,New Haven County,"New Haven, Lighthouse Point",Eastern side marsh area and Western side along rocky shore near the lighthouse,marine bristleworms; segmented worms; animals,,,,,Eric A. Lazo-Wasem,,Alitta virens,Det. by: Eric A. Lazo-Wasem 2017
4374358,urn:uuid:896e0cca-2bf8-4796-a0f2-67394c748000,2019-01-11T23:19:15.000Z,YPM IZ 100263,"Alitta virens; YPM IZ 100263; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Long Wharf, along the marsh grass and fresh water drainage behind Vietnam Memorial; Elder, L. E.; Culligan, C. R.; Rojas, L. M.; 2017-07-18",Alitta virens,"Elder, L. E.; Culligan, C. R.; Rojas, L. M.",7/18/2017,41.286322,-72.923711,,North America,USA,Connecticut,New Haven County,New Haven,"Long Wharf, along the marsh grass and fresh water drainage behind Vietnam Memorial",marine bristleworms; segmented worms; animals,,,,,Eric A. Lazo-Wasem,,Alitta virens,Det. by: Eric A. Lazo-Wasem 2017
