id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references
2949322,urn:uuid:c0484175-5b85-4512-befe-70a881bc9ef6,2018-03-04T00:09:49.000Z,YPM IZ 002138.CR,"Actoniscus ellipticus; YPM IZ 002138.CR (SYNTYPE); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Verrill, A. E.; 1874-06-01",Actoniscus ellipticus,"Verrill, A. E.",6/1/1874 ,,,,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,isopods; malacostracans; crustaceans; arthropods; animals,,,,,,"Harger, Oscar. 1878. Descriptions of new genera and species of Isopoda, from New England and adjacent regions. American Journal of Science. 15: 373-378.",Armadilloniscus ellipticus|Actoniscus ellipticus|Actoniscus ellipticus|Actaecia?,"|See: Harger, Oscar. 1880. Report on the marine Isopoda of New England and adjacent waters. Rept. U.S. Comm. Fish and Fisheries (1878):.|SYNTYPE. See: Harger, Oscar. 1878. Descriptions of new genera and species of Isopoda, from New England and adjacent regions. American Journal of Science. 15: 373-378.|Det. by: Oscar Harger"
2937522,urn:uuid:4727546d-a43d-4e9f-b096-78bef0279f75,2019-02-12T23:18:56.000Z,YPM IZ 007464.BV,Aequipecten irradians; YPM IZ 007464.BV; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; A. E. Verrill and class; 1865,Aequipecten irradians,A. E. Verrill and class,2/7/1905,,,,North America,USA,Connecticut,,,,bivalves; molluscs; animals,,,,,,,Aequipecten irradians,
2899255,urn:uuid:b8f017f4-c411-4e86-925b-f354a3f4c4e9,2017-09-21T16:26:48.000Z,YPM IZ 000455.TN,"Alcyonidium hirsutum; YPM IZ 000455.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven; Savin Rock; Verrill, A. E.; 1873-05-05",Alcyonidium hirsutum,"Verrill, A. E.",5/05/1873,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,West Haven,Savin Rock,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium hirsutum,
2899180,urn:uuid:c47dd848-941b-4532-9e32-27e7f1034bdd,2018-05-04T09:06:01.000Z,YPM IZ 000416.TN,"Alcyonidium hispidum; YPM IZ 000416.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven; Savin Rock; Verrill, A. E.; 1873-05-05",Alcyonidium hispidum,"Verrill, A. E.",5/05/1873,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,West Haven,Savin Rock,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium hispidum,
2899263,urn:uuid:b6d9394a-696b-4f68-90ba-7714c1631b23,2019-02-12T23:18:56.000Z,YPM IZ 000459.TN,"Alcyonidium mytili?; YPM IZ 000459.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Verrill, A. E.; 1873",Alcyonidium mytili?,"Verrill, A. E.",2/15/1905,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium mytili?,
2899188,urn:uuid:b74efbab-ee48-4faa-a4c1-ae654f0b0ce9,2017-09-21T16:25:46.000Z,YPM IZ 000420.TN,"Alcyonidium ramosum; YPM IZ 000420.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Verrill, A. E.",Alcyonidium ramosum,"Verrill, A. E.",,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium ramosum,
2899249,urn:uuid:b4db23d9-e668-49b1-acc5-a7e25ba6da7e,2017-09-21T16:26:47.000Z,YPM IZ 000452.TN,"Alcyonidium ramosum; YPM IZ 000452.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Verrill, A. E.",Alcyonidium ramosum,"Verrill, A. E.",,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium ramosum,
3784541,urn:uuid:47bc1aee-81d2-4155-8157-fe00a3866fa5,2017-11-26T23:22:13.000Z,YPM IZ 063234,"Alcyonidium ramosum; YPM IZ 063234 (SYNTYPE); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; off South End; Verrill, A. E.",Alcyonidium ramosum,"Verrill, A. E.",,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,off South End,marine bryozoans; bryozoans; animals,,,,,,"Verrill, Addison E. 1872. Recent additions to the molluscan fauna of New England and the adjacent waters, with notes on other species. American Journal of Science. 3: 209-213.",Alcyonidium verrilli|Alcyonidium ramosum|Alcyonidium ramosum,"HYPOTYPE. See: Osburn, Raymond C. 1912. The Bryozoa of the Woods Hole Region. Bulletin of the Bureau of Fisheries. 30: 203-266, pls. 18-31.|SYNTYPE. See: Verrill, Addison E. 1872. Recent additions to the molluscan fauna of New England and the adjacent waters, with notes on other species. American Journal of Science. 3: 281-290, pls. 6-8.|SYNTYPE. See: Verrill, Addison E. 1872. Recent additions to the molluscan fauna of New England and the adjacent waters, with notes on other species. American Journal of Science. 3: 209-213."
4550269,urn:uuid:0e7f358f-3723-4b61-b70e-16fc4578552b,2018-05-03T09:02:40.000Z,YPM IZ 102884,"Alcyonidium ramosum; YPM IZ 102884; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Verrill, A. E.",Alcyonidium ramosum,"Verrill, A. E.",,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,marine bryozoans; bryozoans; animals,,,,,Addison E. Verrill,,Alcyonidium ramosum,Det. by: Addison E. Verrill
4550266,urn:uuid:18a6e802-8cc6-418b-a918-78906728a55f,2018-05-03T09:06:42.000Z,YPM IZ 102885,"Alcyonidium verrilli; YPM IZ 102885; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Verrill, A. E.",Alcyonidium verrilli,"Verrill, A. E.",,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,marine bryozoans; bryozoans; animals,,,,,"Raymond C. Osburn, Lou W. Hutchins",,Alcyonidium verrilli,"Det. by: Raymond C. Osburn, Lou W. Hutchins 1842"
